serial,player_name,club,position,balls_recoverd,tackles,t_won,t_lost,clearance_attempted,match_played
300,Renato Sanches,LOSC,Midfielder,12,3,1,2,6,5
300,Paulinho,Sporting CP,Forward,12,3,0,3,4,8
300,Dimarco,Inter,Defender,12,2,2,0,7,7
300,Taremi,Porto,Forward,12,2,0,2,7,6
300,Tadić,Ajax,Forward,12,2,0,2,1,7
300,Forsberg,Leipzig,Forward,12,2,0,2,1,6
300,Meraş,Beşiktaş,Defender,12,1,0,1,8,3
300,Ricca,Club Brugge,Defender,12,0,0,0,11,4
300,Salah,Liverpool,Forward,12,0,0,0,0,13
317,Van de Beek,Man. United,Midfielder,11,8,3,5,3,4
317,Castañeda,Sheriff,Midfielder,11,8,1,7,3,5
317,Sowah,Club Brugge,Forward,11,7,1,6,4,5
317,De Bruyne,Man. City,Midfielder,11,6,0,6,2,10
317,Van Der Brempt,Club Brugge,Defender,11,5,3,2,2,5
317,Ziyech,Chelsea,Midfielder,11,5,2,3,1,9
317,Rakitić,Sevilla,Midfielder,11,5,1,4,1,5
317,Loftus-Cheek,Chelsea,Forward,11,4,2,2,2,8
317,Salih Uçan,Beşiktaş,Midfielder,11,4,2,2,0,5
317,Dest,Barcelona,Defender,11,3,3,0,0,4
317,Krunić,Milan,Midfielder,11,3,2,1,1,4
317,Neymar,Paris,Forward,11,3,1,2,0,6
317,Bailly,Man. United,Defender,11,2,1,1,11,2
317,Mingueza,Barcelona,Defender,11,2,1,1,0,5
317,Grealish,Man. City,Midfielder,11,2,0,2,0,7
317,David,LOSC,Forward,11,1,1,0,1,8
317,Pessina,Atalanta,Midfielder,11,1,1,0,1,4
317,Dahoud,Dortmund,Midfielder,11,1,0,1,0,4
317,Baku,Wolfsburg,Midfielder,11,0,0,0,8,6
317,Morata,Juventus,Forward,11,0,0,0,7,7
337,Garmash,Dynamo Kyiv,Midfielder,10,9,2,7,1,6
337,Haller,Ajax,Forward,10,8,2,6,5,8
337,N. Williams,Liverpool,Defender,10,6,2,4,1,3
337,Dumfries,Inter,Defender,10,6,1,5,4,7
337,Kalulu,Milan,Defender,10,5,3,2,1,5
337,Foden,Man. City,Midfielder,10,5,1,4,0,11
337,Pedro Gonçalves,Sporting CP,Midfielder,10,4,3,1,1,5
337,Tagliafico,Ajax,Defender,10,4,3,1,1,3
337,Núñez,Benfica,Forward,10,4,2,2,7,10
337,Zappacosta,Atalanta,Defender,10,4,0,4,3,6
337,Weghorst,Wolfsburg,Forward,10,3,2,1,3,5
337,Klaassen,Ajax,Midfielder,10,3,1,2,2,7
337,Bruno,Sheriff,Midfielder,10,2,2,0,6,6
337,Gudmundsson,LOSC,Defender,10,2,2,0,4,4
337,Morato,Benfica,Defender,10,2,1,1,5,2
337,De Pena,Dynamo Kyiv,Midfielder,10,2,1,1,3,6
337,Bernardeschi,Juventus,Midfielder,10,2,1,1,2,5
337,Alan Patrick,Shakhtar Donetsk,Midfielder,10,2,0,2,1,4
337,Schulz,Dortmund,Defender,10,2,0,2,0,4
337,Sierro,Young Boys,Midfielder,10,1,0,1,7,5
337,Kuzyaev,Zenit,Midfielder,10,1,0,1,5,4
337,Mbappé,Paris,Forward,10,1,0,1,2,8
337,Tymchyk,Dynamo Kyiv,Defender,10,1,0,1,1,4
337,Elia,Young Boys,Forward,10,1,0,1,0,6
337,Kolovos,Sheriff,Midfielder,10,1,0,1,0,6
337,Rıdvan Yılmaz,Beşiktaş,Defender,10,0,0,0,3,2
337,Sancho,Man. United,Midfielder,10,0,0,0,2,7
364,Richards,Bayern,Defender,9,8,2,6,1,4
364,Sarabia,Sporting CP,Forward,9,6,3,3,1,8
364,Morton,Liverpool,Midfielder,9,5,4,1,2,2
364,Pogba,Man. United,Midfielder,9,5,3,2,4,6
364,Delaney,Sevilla,Midfielder,9,4,2,2,3,4
364,Mané,Liverpool,Midfielder,9,4,1,3,1,13
364,Corona,Porto,Forward,9,4,0,4,5,4
364,Aurier,Villarreal,Defender,9,3,1,2,5,5
364,Pongračić,Dortmund,Defender,9,2,2,0,2,5
364,Karavaev,Zenit,Defender,9,2,1,1,5,4
364,Dalot,Man. United,Defender,9,2,0,2,10,3
364,Gerard Moreno,Villarreal,Forward,9,2,0,2,5,7
364,Sarr,Chelsea,Defender,9,1,1,0,7,2
364,Ocampos,Sevilla,Midfielder,9,1,0,1,2,6
364,De Ketelaere,Club Brugge,Forward,9,1,0,1,1,6
364,Kryvtsov,Shakhtar Donetsk,Defender,9,0,0,0,11,3
364,Serdar Saatçı,Beşiktaş,Defender,9,0,0,0,6,1
364,Meite,Benfica,Midfielder,9,0,0,0,3,3
364,Fassnacht,Young Boys,Midfielder,9,0,0,0,2,3
364,Bondar,Shakhtar Donetsk,Defender,9,0,0,0,2,1
364,Ikoné,LOSC,Midfielder,9,0,0,0,1,5
385,Adams,Leipzig,Midfielder,8,8,5,3,2,5
385,Ghezzal,Beşiktaş,Midfielder,8,7,1,6,0,5
385,Birmančević,Malmö,Midfielder,8,6,3,3,2,6
385,Trigueros,Villarreal,Midfielder,8,6,1,5,4,9
385,Lefort,Young Boys,Defender,8,5,5,0,8,3
385,Rensch,Ajax,Defender,8,5,2,3,1,5
385,Buyalskiy,Dynamo Kyiv,Midfielder,8,5,2,3,1,5
385,Saúl Ñíguez,Chelsea,Midfielder,8,4,4,0,5,5
385,Stepanenko,Shakhtar Donetsk,Midfielder,8,4,1,3,3,4
385,Marcos Antônio,Shakhtar Donetsk,Midfielder,8,4,1,3,1,5
385,Adeyemi,Salzburg,Forward,8,4,1,3,0,8
385,Moreno,Villarreal,Defender,8,4,0,4,6,7
385,André Silva,Leipzig,Forward,8,3,0,3,1,6
385,Pedri,Barcelona,Midfielder,8,2,0,2,0,2
385,M. Olsson,Malmö,Defender,8,1,0,1,17,6
385,Carrasco,Atlético,Forward,8,1,0,1,8,7
385,Guerreiro,Dortmund,Defender,8,1,0,1,2,3
385,Gómez,Sevilla,Forward,8,1,0,1,1,5
385,Werner,Chelsea,Forward,8,0,0,0,0,5
404,Ugarte,Sporting CP,Midfielder,7,7,3,4,1,4
404,Larin,Beşiktaş,Forward,7,7,2,5,4,5
404,Lamela,Sevilla,Midfielder,7,6,2,4,1,4
404,L. Nmecha,Wolfsburg,Forward,7,5,2,3,3,5
404,Koopmeiners,Atalanta,Midfielder,7,4,1,3,3,5
404,Lewandowski,Bayern,Forward,7,4,0,4,0,10
404,Trippier,Atlético,Defender,7,3,3,0,1,3
404,Mudryk,Shakhtar Donetsk,Midfielder,7,3,1,2,3,6
404,D'Ambrosio,Inter,Defender,7,3,1,2,0,3
404,Havertz,Chelsea,Midfielder,7,3,0,3,6,9
404,Azmoun,Zenit,Forward,7,3,0,3,4,5
404,Sterling,Man. City,Forward,7,3,0,3,0,12
404,Kenan Karaman,Beşiktaş,Forward,7,2,2,0,1,5
404,Daniel Bragança,Sporting CP,Midfielder,7,2,2,0,0,5
404,Alex Teixeira,Beşiktaş,Midfielder,7,2,2,0,0,3
404,Messi,Paris,Forward,7,2,1,1,1,7
404,Ballo,Milan,Defender,7,2,1,1,1,2
404,Dybala,Juventus,Forward,7,2,1,1,0,5
404,Hudson-Odoi,Chelsea,Midfielder,7,2,0,2,0,5
404,Pašalić,Atalanta,Midfielder,7,1,1,0,2,5
404,Chalobah,Chelsea,Defender,7,1,0,1,4,3
404,Sabitzer,Bayern,Midfielder,7,1,0,1,0,5
404,Zagadou,Dortmund,Defender,7,0,0,0,3,2
404,Krugovoi,Zenit,Defender,7,0,0,0,0,6
428,Adamu,Salzburg,Forward,6,8,2,6,0,8
428,Rafael Leão,Milan,Forward,6,5,1,4,3,4
428,Steffen,Wolfsburg,Midfielder,6,3,2,1,6,5
428,Jesus,Man. City,Forward,6,3,2,1,1,8
428,Brahim Díaz,Milan,Midfielder,6,2,2,0,1,5
428,Diogo Gonçalves,Benfica,Midfielder,6,2,1,1,4,5
428,Fernando,Shakhtar Donetsk,Midfielder,6,2,0,2,1,5
428,Minamino,Liverpool,Forward,6,2,0,2,0,4
428,Reinier,Dortmund,Forward,6,2,0,2,0,3
428,Benzema,Real Madrid,Forward,6,1,1,0,10,12
428,Lewicki,Malmö,Midfielder,6,1,1,0,2,2
428,Marc Roca,Bayern,Defender,6,1,0,1,1,4
428,Tetê,Shakhtar Donetsk,Forward,6,1,0,1,0,6
428,Andriyevskiy,Dynamo Kyiv,Midfielder,6,1,0,1,0,2
428,Marcano,Porto,Defender,6,0,0,0,14,2
428,Džeko,Inter,Forward,6,0,0,0,5,7
428,Šeško,Salzburg,Forward,6,0,0,0,1,6
428,Jones,Liverpool,Midfielder,6,0,0,0,1,4
428,Malen,Dortmund,Forward,6,0,0,0,0,6
428,Solomon,Shakhtar Donetsk,Midfielder,6,0,0,0,0,5
448,Milner,Liverpool,Midfielder,5,6,3,3,6,8
448,João Félix,Atlético,Forward,5,6,1,5,7,8
448,Necip Uysal,Beşiktaş,Midfielder,5,4,2,2,3,3
448,Wijnaldum,Paris,Midfielder,5,4,0,4,1,5
448,Moi Gómez,Villarreal,Midfielder,5,3,2,1,4,6
448,Lukebakio,Wolfsburg,Forward,5,3,2,1,0,6
448,Ronaldo,Man. United,Forward,5,3,1,2,6,7
448,Gerhardt,Wolfsburg,Midfielder,5,2,2,0,0,5
448,Nikolov,Sheriff,Midfielder,5,2,2,0,0,5
448,Gosens,Atalanta,Midfielder,5,2,1,1,2,2
448,Draxler,Paris,Forward,5,2,1,1,1,3
448,Shepeliev,Dynamo Kyiv,Midfielder,5,2,1,1,0,2
448,Gomes,LOSC,Midfielder,5,2,0,2,1,4
448,Augustinsson,Sevilla,Defender,5,2,0,2,0,3
448,Weah,LOSC,Forward,5,1,1,0,3,5
448,Phillips,Liverpool,Defender,5,1,1,0,3,2
448,Hutchinson,Beşiktaş,Midfielder,5,1,1,0,0,4
448,De Winter,Juventus,Defender,5,1,1,0,0,2
448,Mechele,Club Brugge,Defender,5,1,0,1,5,3
448,Sutormin,Zenit,Midfielder,5,1,0,1,3,4
448,Chukwueze,Villarreal,Midfielder,5,1,0,1,2,9
448,Siebatcheu,Young Boys,Forward,5,1,0,1,2,6
448,Kehrer,Paris,Defender,5,1,0,1,2,4
448,Chilwell,Chelsea,Defender,5,1,0,1,1,4
448,Origi,Liverpool,Forward,5,1,0,1,0,7
448,Rekik,Sevilla,Defender,5,1,0,1,0,4
448,Haaland,Dortmund,Forward,5,0,0,0,4,3
448,Lovato,Atalanta,Defender,5,0,0,0,3,1
448,Nalić,Malmö,Midfielder,5,0,0,0,1,5
448,Yansané,Sheriff,Forward,5,0,0,0,1,3
448,Ranocchia,Inter,Defender,5,0,0,0,1,3
479,Rakip,Malmö,Midfielder,4,6,3,3,1,6
479,Evanilson,Porto,Forward,4,6,2,4,3,4
479,Malinovskyi,Atalanta,Midfielder,4,6,2,4,2,5
479,Wendell,Porto,Defender,4,6,2,4,2,4
479,Alexis Sánchez,Inter,Forward,4,6,2,4,0,6
479,Rieks,Malmö,Midfielder,4,4,2,2,8,3
479,Maceiras,Young Boys,Defender,4,2,2,0,1,3
479,Lázaro,Benfica,Midfielder,4,2,1,1,4,6
479,Giroud,Milan,Forward,4,2,1,1,3,5
479,Sergi Roberto,Barcelona,Midfielder,4,2,1,1,3,3
479,Verbič,Dynamo Kyiv,Midfielder,4,2,1,1,0,3
479,Čolak,Malmö,Forward,4,2,0,2,2,6
479,Batshuayi,Beşiktaş,Forward,4,2,0,2,2,5
479,T. Hazard,Dortmund,Midfielder,4,2,0,2,1,3
479,Pedrinho,Shakhtar Donetsk,Midfielder,4,2,0,2,0,4
479,Marlos,Shakhtar Donetsk,Midfielder,4,1,1,0,1,6
479,Bozdoğan,Beşiktaş,Midfielder,4,1,1,0,0,4
479,Mata,Man. United,Midfielder,4,1,1,0,0,3
479,Dzyuba,Zenit,Forward,4,1,0,1,8,6
479,Karavaev,Dynamo Kyiv,Defender,4,1,0,1,4,6
479,Chiesa,Juventus,Forward,4,1,0,1,1,4
479,Mostovoy,Zenit,Midfielder,4,1,0,1,0,5
479,Suso,Sevilla,Forward,4,1,0,1,0,4
479,Florenzi,Milan,Defender,4,0,0,0,6,4
479,Marcelo,Real Madrid,Defender,4,0,0,0,3,3
479,Szoboszlai,Leipzig,Midfielder,4,0,0,0,2,4
479,Óliver Torres,Sevilla,Midfielder,4,0,0,0,0,4
479,Diallo,Man. United,Midfielder,4,0,0,0,0,1
507,Wolf,Dortmund,Midfielder,3,5,0,5,3,5
507,Bruno Tabata,Sporting CP,Midfielder,3,5,0,5,2,4
507,Okafor,Salzburg,Midfielder,3,5,0,5,0,6
507,Vormer,Club Brugge,Midfielder,3,4,2,2,1,4
507,Yakhshiboev,Sheriff,Forward,3,4,0,4,1,3
507,Pulišić,Chelsea,Midfielder,3,3,1,2,0,7
507,Poulsen,Leipzig,Forward,3,3,0,3,4,4
507,Erokhin,Zenit,Midfielder,3,3,0,3,1,6
507,Lustenberger,Young Boys,Defender,3,2,2,0,4,1
507,Dia,Villarreal,Forward,3,2,2,0,3,8
507,Darmian,Inter,Defender,3,2,1,1,2,5
507,Maldini,Milan,Forward,3,2,1,1,0,3
507,Radeljić,Sheriff,Defender,3,1,1,0,4,3
507,Henrichs,Leipzig,Defender,3,1,1,0,3,4
507,Sarr,Bayern,Defender,3,1,1,0,1,5
507,Rashford,Man. United,Forward,3,1,1,0,0,5
507,Messias Junior,Milan,Forward,3,1,1,0,0,2
507,Flávio Nazinho,Sporting CP,Defender,3,1,1,0,0,2
507,Vitão,Shakhtar Donetsk,Defender,3,1,0,1,10,1
507,Danjuma,Villarreal,Midfielder,3,1,0,1,5,11
507,Asensio,Real Madrid,Forward,3,1,0,1,1,8
507,Korniienko,Shakhtar Donetsk,Defender,3,1,0,1,1,2
507,Egan-Riley,Man. City,Defender,3,1,0,1,1,1
507,Mbamba-Muanda,Club Brugge,Defender,3,1,0,1,0,3
507,Bakayoko,Milan,Defender,3,1,0,1,0,3
507,Fábio Cardoso,Porto,Defender,3,0,0,0,9,2
507,Passlack,Dortmund,Midfielder,3,0,0,0,6,2
507,Rafa Mir,Sevilla,Forward,3,0,0,0,3,6
507,Piątkowski,Salzburg,Defender,3,0,0,0,3,2
507,Vecino,Inter,Midfielder,3,0,0,0,2,4
507,Greenwood,Man. United,Forward,3,0,0,0,1,4
507,Gökhan Töre,Beşiktaş,Midfielder,3,0,0,0,1,4
507,Elanga,Man. United,Forward,3,0,0,0,1,3
507,Neres,Ajax,Forward,3,0,0,0,0,5
507,Vitinho,Dynamo Kyiv,Midfielder,3,0,0,0,0,3
507,Barkley,Chelsea,Midfielder,3,0,0,0,0,3
543,Yaremchuk,Benfica,Forward,2,5,2,3,2,10
543,Tiago Tomás,Sporting CP,Forward,2,5,1,4,0,5
543,Depay,Barcelona,Forward,2,4,2,2,0,6
543,Iličić,Atalanta,Midfielder,2,4,1,3,0,4
543,Gagliardini,Inter,Midfielder,2,3,2,1,2,5
543,Abubakari,Malmö,Forward,2,2,2,0,2,4
543,Zapata,Atalanta,Forward,2,2,1,1,3,6
543,Ceballos,Real Madrid,Midfielder,2,2,1,1,1,5
543,Peña,Villarreal,Defender,2,2,1,1,1,2
543,Tijani,Salzburg,Midfielder,2,2,1,1,0,1
543,Matheus Cunha,Atlético,Forward,2,2,0,2,1,5
543,Bondarenko,Shakhtar Donetsk,Midfielder,2,2,0,2,0,2
543,Brobbey,Leipzig,Forward,2,1,1,0,1,5
543,Kulusevski,Juventus,Midfielder,2,1,1,0,1,5
543,N'Koudou,Beşiktaş,Midfielder,2,1,1,0,1,1
543,Lukaku,Chelsea,Forward,2,1,1,0,0,6
543,Fati,Barcelona,Forward,2,1,1,0,0,3
543,Al. Miranchuk,Atalanta,Forward,2,1,1,0,0,2
543,Burak Yılmaz,LOSC,Forward,2,1,0,1,1,7
543,Esteves,Sporting CP,Defender,2,1,0,1,1,1
543,Dembélé,Barcelona,Forward,2,1,0,1,0,3
543,Fábio Vieira,Porto,Midfielder,2,1,0,1,0,2
543,Óscar Rodríguez,Sevilla,Midfielder,2,1,0,1,0,1
543,Shabanov,Dynamo Kyiv,Defender,2,0,0,0,5,1
543,Pezzella,Atalanta,Defender,2,0,0,0,3,3
543,Vallejo,Real Madrid,Defender,2,0,0,0,2,2
543,Kean,Juventus,Forward,2,0,0,0,1,6
543,Bernardo,Salzburg,Defender,2,0,0,0,1,2
543,Palmer,Man. City,Midfielder,2,0,0,0,0,3
543,Jovane Cabral,Sporting CP,Forward,2,0,0,0,0,3
543,Alcácer,Villarreal,Forward,2,0,0,0,0,3
543,Sudakov,Shakhtar Donetsk,Midfielder,2,0,0,0,0,2
543,Emre Can,Dortmund,Defender,2,0,0,0,0,2
543,Iborra,Villarreal,Midfielder,2,0,0,0,0,1
543,Ozdoev,Zenit,Midfielder,2,0,0,0,0,1
578,Knauff,Dortmund,Midfielder,1,4,2,2,0,3
578,Moriba,Leipzig,Midfielder,1,4,2,2,0,3
578,Supryaha,Dynamo Kyiv,Forward,1,3,1,2,0,2
578,Rebić,Milan,Forward,1,2,0,2,4,2
578,Hateboer,Atalanta,Defender,1,2,0,2,2,1
578,Mambimbi,Young Boys,Forward,1,2,0,2,1,4
578,Mengi,Man. United,Defender,1,1,1,0,4,1
578,Bonnah,Leipzig,Midfielder,1,1,1,0,2,1
578,Philipp,Wolfsburg,Forward,1,1,1,0,0,2
578,Guindo,Salzburg,Defender,1,1,1,0,0,1
578,McAtee,Man. City,Midfielder,1,1,1,0,0,1
578,Shkurin,Dynamo Kyiv,Forward,1,1,0,1,2,2
578,Waldschmidt,Wolfsburg,Forward,1,1,0,1,1,3
578,Cojocaru,Sheriff,Midfielder,1,1,0,1,1,2
578,Bradarić,LOSC,Defender,1,1,0,1,1,1
578,Toni Martínez,Porto,Forward,1,1,0,1,0,6
578,Kjærgaard,Salzburg,Midfielder,1,1,0,1,0,4
578,Munir,Sevilla,Forward,1,1,0,1,0,4
578,Taylor,Ajax,Midfielder,1,1,0,1,0,3
578,Oğuzhan Özyakup,Beşiktaş,Midfielder,1,1,0,1,0,2
578,Miguel Gutiérrez,Real Madrid,Defender,1,1,0,1,0,1
578,Ricard Puig,Barcelona,Midfielder,1,1,0,1,0,1
578,Paulo Bernardo,Benfica,Midfielder,1,0,0,0,3,5
578,Luis Suárez,Atlético,Forward,1,0,0,0,2,7
578,Lingard,Man. United,Midfielder,1,0,0,0,2,4
578,Mario Gaspar,Villarreal,Defender,1,0,0,0,2,2
578,Daramy,Ajax,Forward,1,0,0,0,1,2
578,Yusuf Yazıcı,LOSC,Midfielder,1,0,0,0,0,4
578,Coutinho,Barcelona,Forward,1,0,0,0,0,4
578,Pepê,Porto,Forward,1,0,0,0,0,3
578,Demir,Barcelona,Midfielder,1,0,0,0,0,3
578,Julien,Sheriff,Defender,1,0,0,0,0,3
578,Jović,Real Madrid,Forward,1,0,0,0,0,3
578,L. de Jong,Barcelona,Forward,1,0,0,0,0,3
578,E. Hazard,Real Madrid,Forward,1,0,0,0,0,3
578,Kravtsov,Zenit,Midfielder,1,0,0,0,0,2
578,Kudus,Ajax,Midfielder,1,0,0,0,0,2
578,F. Nmecha,Wolfsburg,Midfielder,1,0,0,0,0,2
578,Olmo,Leipzig,Forward,1,0,0,0,0,2
578,Dário Essugo,Sporting CP,Midfielder,1,0,0,0,0,1
578,Kuznetsov,Zenit,Forward,1,0,0,0,0,1
578,Miretti,Juventus,Midfielder,1,0,0,0,0,1
578,Moukoko,Dortmund,Forward,1,0,0,0,0,1
578,Delap,Man. City,Forward,1,0,0,0,0,1
578,Shoretire,Man. United,Midfielder,1,0,0,0,0,1
578,Maier,Young Boys,Midfielder,1,0,0,0,0,1
578,Zhegrova,LOSC,Midfielder,1,0,0,0,0,1
578,Zesiger,Young Boys,Defender,1,0,0,0,0,1
578,Zakaria,Juventus,Midfielder,1,0,0,0,0,1
578,Edwards,Sporting CP,Forward,1,0,0,0,0,1
